canonical_smiles	compound_chembl_id	standard_relation	standard_value	publication_year	document_chembl_id
O=C(Nc1ccc([C@H]2CNCCO2)cc1)c1cc(-c2ccccc2)[nH]n1	CHEMBL3663679	=	4.3	2015	CHEMBL3638918
O=C(Nc1ccc([C@@H]2CNCCO2)cc1F)c1n[nH]c2cc(F)ccc12	CHEMBL3672946	=	5.1	2015	CHEMBL3638970
O=C(Nc1ccc([C@H]2CNCCO2)cc1F)c1n[nH]c2cc(F)ccc12	CHEMBL3672947	=	0.9	2015	CHEMBL3638970
N#Cc1cccc(NC(=O)Nc2ccc([C@@H]3CNCCO3)cc2F)c1	CHEMBL3672948	=	1.5	2015	CHEMBL3638970
N#Cc1cccc(NC(=O)Nc2ccc([C@H]3CNCCO3)cc2F)c1	CHEMBL3672949	=	2.8	2015	CHEMBL3638970
N#Cc1cccc(NC(=O)Nc2ccc(C3CNCCO3)cc2Cl)c1	CHEMBL3672950	=	1.3	2015	CHEMBL3638970
N#Cc1cccc(NC(=O)Nc2ccc([C@H]3CNCCO3)cc2Cl)c1	CHEMBL3677871	=	1.7	2015	CHEMBL3638970
N#Cc1cccc(NC(=O)Nc2ccc([C@@H]3CNCCO3)cc2Cl)c1	CHEMBL3672951	=	1.6	2015	CHEMBL3638970
O=C(Nc1ccc(Cl)nc1)Nc1ccc([C@@H]2CNCCO2)cc1F	CHEMBL3672952	=	3.9	2015	CHEMBL3638970
O=C(Nc1ccc(Cl)nc1)Nc1ccc([C@H]2CNCCO2)cc1F	CHEMBL3672953	=	10.5	2015	CHEMBL3638970
O=C(Nc1ccc(C(F)(F)F)nc1)Nc1ccc([C@@H]2CNCCO2)cc1F	CHEMBL3672954	=	3.3	2015	CHEMBL3638970
O=C(Nc1ccc(C(F)(F)F)nc1)Nc1ccc([C@H]2CNCCO2)cc1F	CHEMBL3672955	=	9.5	2015	CHEMBL3638970
O=C(Nc1ccc([C@@H]2CNCCO2)cc1F)c1ccn(-c2ccc(F)cc2)n1	CHEMBL3672956	=	0.6	2015	CHEMBL3638970
O=C(Nc1ccc([C@H]2CNCCO2)cc1F)c1ccn(-c2ccc(F)cc2)n1	CHEMBL3672957	=	2.4	2015	CHEMBL3638970
O=C(Nc1ccc(Cl)nc1)Nc1ccc(C2CNCCO2)cc1Cl	CHEMBL3672958	=	3.9	2015	CHEMBL3638970
N#Cc1cccc(CNC(=O)Nc2ccc([C@@H]3CNCCO3)cc2F)c1	CHEMBL3672959	=	54.4	2015	CHEMBL3638970
N#Cc1cccc(CNC(=O)Nc2ccc([C@H]3CNCCO3)cc2F)c1	CHEMBL3672960	=	67.9	2015	CHEMBL3638970
Cn1nc(-c2ccccc2)cc1C(=O)Nc1ccc([C@H]2CNCCO2)cc1F	CHEMBL3672961	=	12.8	2015	CHEMBL3638970
O=C(Nc1ccc(C2CNCCO2)cc1Cl)c1cnn(-c2ccc(F)cc2)c1	CHEMBL3672962	=	3.3	2015	CHEMBL3638970
O=C(Nc1ccc(Cl)nc1)Nc1ccc([C@H]2CNCCO2)cc1Cl	CHEMBL3677872	=	3.4	2015	CHEMBL3638970
O=C(Nc1ccc(Cl)nc1)Nc1ccc([C@@H]2CNCCO2)cc1Cl	CHEMBL3672963	=	5.0	2015	CHEMBL3638970
O=C(Nc1ccc([C@@H]2CNCCO2)cc1F)c1cnn(-c2ccc(F)cc2)c1	CHEMBL3672964	=	2.2	2015	CHEMBL3638970
O=C(Nc1ccc([C@H]2CNCCO2)cc1F)c1cnn(-c2ccc(F)cc2)c1	CHEMBL3672965	=	3.6	2015	CHEMBL3638970
Cn1nc(-c2ccccc2)cc1C(=O)Nc1ccc([C@@H]2CNCCO2)cc1F	CHEMBL3672966	=	3.3	2015	CHEMBL3638970
COc1cc(C(=O)Nc2ccc([C@@H]3CNCCO3)cc2F)cc(Cl)n1	CHEMBL3672967	=	7.0	2015	CHEMBL3638970
COc1cc(C(=O)Nc2ccc([C@H]3CNCCO3)cc2F)cc(Cl)n1	CHEMBL3672968	=	12.7	2015	CHEMBL3638970
N#Cc1cc(F)cc(NC(=O)Nc2ccc([C@H]3CNCCO3)cc2F)c1	CHEMBL3672969	=	2.0	2015	CHEMBL3638970
N#Cc1cc(NC(=O)Nc2ccc([C@H]3CNCCO3)cc2F)ccc1F	CHEMBL3672970	=	3.8	2015	CHEMBL3638970
N#Cc1cc(C2CNCCO2)ccc1NC(=O)c1ccn(-c2ccc(F)cc2)n1	CHEMBL3672971	=	5.9	2015	CHEMBL3638970
O=C(Nc1ccc([C@H]2CNCCO2)cc1Cl)c1ccn(-c2ccc(F)cc2)n1	CHEMBL3672972	=	3.6	2015	CHEMBL3638970
O=C(Nc1ccc([C@@H]2CNCCO2)cc1Cl)c1ccn(-c2ccc(F)cc2)n1	CHEMBL3672973	=	1.2	2015	CHEMBL3638970
O=C(Nc1ccc([C@H]2CNCCO2)cc1Cl)c1cnn(-c2ccc(F)cc2)c1	CHEMBL3639718	=	1.2	2015	CHEMBL3638970
O=C(Nc1ccc([C@@H]2CNCCO2)cc1Cl)c1cnn(-c2ccc(F)cc2)c1	CHEMBL3672974	=	1.2	2015	CHEMBL3638970
N#Cc1cccc(NC(=O)Nc2ccc(C3CNCCO3)cc2C#N)c1	CHEMBL3672975	=	1511.2	2015	CHEMBL3638970
O=C(Nc1ccc(C2CNCCO2)cc1Cl)c1ccc(Cl)cc1	CHEMBL3672976	=	22.9	2015	CHEMBL3638970
O=C(Nc1ccc([C@@H]2CNCCO2)cc1Cl)c1ccc(Cl)nc1	CHEMBL3672977	=	110.9	2015	CHEMBL3638970
O=C(Nc1ccc([C@H]2CNCCO2)cc1Cl)c1ccc(Cl)nc1	CHEMBL3672978	=	488.3	2015	CHEMBL3638970
O=C(Nc1ccc(Cl)nc1)Nc1ccc(C2CNCCO2)cc1Br	CHEMBL3672979	=	5.3	2015	CHEMBL3638970
O=C(Nc1ccc(Cl)nc1)Nc1ccc(C2CCNC2)cc1Cl	CHEMBL3672980	=	19.1	2015	CHEMBL3638970
COc1ccc(C#N)cc1NC(=O)Nc1ccc([C@H]2CNCCO2)cc1F	CHEMBL3672981	=	8.5	2015	CHEMBL3638970
Cc1cc([C@@H]2CNCCO2)ccc1NC(=O)Nc1ccc(Cl)nc1	CHEMBL3672982	=	120.4	2015	CHEMBL3638970
O=C(Nc1ccc(Cl)nc1)Nc1ccc(C2CCCNC2)cc1Cl	CHEMBL3672983	=	9.0	2015	CHEMBL3638970
Cc1cc([C@@H]2CNCCO2)ccc1NC(=O)c1ccc(Cl)nc1	CHEMBL3672984	=	3989.0	2015	CHEMBL3638970
O=C(Nc1ccc(C2CCCNC2)cc1Cl)c1ccc(Cl)nc1	CHEMBL3672985	=	367.2	2015	CHEMBL3638970
COc1ccc(C#N)cc1NC(=O)Nc1ccc([C@@H]2CNCCO2)cc1F	CHEMBL3672986	=	5.9	2015	CHEMBL3638970
COc1ccc(C#N)cc1NC(=O)Nc1ccc([C@@H]2CNCCO2)cc1Cl	CHEMBL3672987	=	4.4	2015	CHEMBL3638970
COc1ccc(C#N)cc1NC(=O)Nc1ccc([C@H]2CNCCO2)cc1Cl	CHEMBL3672988	=	6.4	2015	CHEMBL3638970
N#Cc1ccc(OC(F)F)c(NC(=O)Nc2ccc([C@@H]3CNCCO3)cc2Cl)c1	CHEMBL3672989	=	1.2	2015	CHEMBL3638970
N#Cc1ccc(OC(F)F)c(NC(=O)Nc2ccc([C@H]3CNCCO3)cc2Cl)c1	CHEMBL3672990	=	1.8	2015	CHEMBL3638970
O=C(Nc1ccc(C(F)(F)F)nc1)Nc1ccc([C@@H]2CNCCO2)cc1Cl	CHEMBL3672991	=	1.5	2015	CHEMBL3638970
O=C(Nc1ccc(C(F)(F)F)nc1)Nc1ccc([C@H]2CNCCO2)cc1Cl	CHEMBL3672992	=	1.4	2015	CHEMBL3638970
O=C(Nc1cnc(C(F)(F)F)nc1)Nc1ccc([C@H]2CNCCO2)cc1Cl	CHEMBL3672993	=	12.6	2015	CHEMBL3638970
O=C(Nc1cnc(C(F)(F)F)nc1)Nc1ccc([C@@H]2CNCCO2)cc1Cl	CHEMBL3672994	=	5.8	2015	CHEMBL3638970
O=C(Nc1ccc(C(F)(F)F)cn1)Nc1ccc([C@H]2CNCCO2)cc1Cl	CHEMBL3672995	=	1.7	2015	CHEMBL3638970
O=C(Nc1ccc(C(F)(F)F)cn1)Nc1ccc([C@@H]2CNCCO2)cc1Cl	CHEMBL3672996	=	1.8	2015	CHEMBL3638970
O=C(Nc1ccc(Cl)cn1)Nc1ccc([C@@H]2CNCCO2)cc1Cl	CHEMBL3672997	=	1.4	2015	CHEMBL3638970
N#Cc1ccc(F)c(NC(=O)Nc2ccc([C@@H]3CNCCO3)cc2F)c1	CHEMBL3672998	=	3.5	2015	CHEMBL3638970
COc1ccc(C#N)cc1NC(=O)Nc1ccc([C@@H]2CNCCO2)cc1Br	CHEMBL3672999	=	12.7	2015	CHEMBL3638970
COc1ccc(C#N)cc1NC(=O)Nc1ccc([C@H]2CNCCO2)cc1Br	CHEMBL3673000	=	16.1	2015	CHEMBL3638970
N#Cc1cc(F)cc(NC(=O)Nc2ccc([C@@H]3CNCCO3)cc2F)c1	CHEMBL3673001	=	1.0	2015	CHEMBL3638970
N#Cc1ccc(OC(F)F)c(NC(=O)Nc2ccc([C@@H]3CNCCO3)cc2Br)c1	CHEMBL3673002	=	1.0	2015	CHEMBL3638970
N#Cc1ccc(OC(F)F)c(NC(=O)Nc2ccc([C@H]3CNCCO3)cc2Br)c1	CHEMBL3673003	=	2.5	2015	CHEMBL3638970
